filename,path,acad_hits,prac_hits,stream_score,top_acad_terms,top_prac_terms
"Beechy, Thomas H. - Accounting for changing prices (Book 1989).pdf","Textbooks/Academic/Accounting/Beechy, Thomas H. - Accounting for changing prices (Book 1989).pdf",6,3,0.3333,review questions(6),"compliance(2), handbook(1)"
"Benedict, Augustine - Financial Accounting An Introduction (Book 2008).pdf","Textbooks/Academic/Accounting/Benedict, Augustine - Financial Accounting An Introduction (Book 2008).pdf",0,0,0.0,,
"Benjamin, James J. - Financial Accounting (Book 1975).pdf","Textbooks/Academic/Accounting/Benjamin, James J. - Financial Accounting (Book 1975).pdf",3,1,0.5,"textbook(1), instructor(1), classroom(1)",straightforward(1)
Bennett - Corporation Accounting (Book 1916).pdf,Textbooks/Academic/Accounting/Bennett - Corporation Accounting (Book 1916).pdf,0,0,0.0,,
"Bierman, Harold - Financial Accounting An Introduction (Book 1968).pdf","Textbooks/Academic/Accounting/Bierman, Harold - Financial Accounting An Introduction (Book 1968).pdf",1,0,1.0,this course(1),
"Britton, Anne - Financial Accounting (Book 2003).pdf","Textbooks/Academic/Accounting/Britton, Anne - Financial Accounting (Book 2003).pdf",0,1,-1.0,,case study(1)
"Burton - Sinking Funds, Reserve Funds, and Depreciation (Book 1922).pdf","Textbooks/Academic/Accounting/Burton - Sinking Funds, Reserve Funds, and Depreciation (Book 1922).pdf",0,0,0.0,,
Danny Ray Hines - Adapting the flow of resources concept to the business enterprise (Book 1975).pdf,Textbooks/Academic/Accounting/Danny Ray Hines - Adapting the flow of resources concept to the business enterprise (Book 1975).pdf,0,0,0.0,,
Donald Royal Law - A study of local government financial reporting practices and accounting (Book 1972).pdf,Textbooks/Academic/Accounting/Donald Royal Law - A study of local government financial reporting practices and accounting (Book 1972).pdf,0,2,-1.0,,guide(2)
Glenn Arnold; Suzanne Kyle; Lyryx Learning - Intermediate Financial Accounting (Book 2017).pdf,Textbooks/Academic/Accounting/Glenn Arnold; Suzanne Kyle; Lyryx Learning - Intermediate Financial Accounting (Book 2017).pdf,10,0,1.0,"learning objectives(5), instructor(4), solutions manual(1)",
Hawkins - Corporate Financial Reporting Text and Cases (Book 1977).pdf,Textbooks/Academic/Accounting/Hawkins - Corporate Financial Reporting Text and Cases (Book 1977).pdf,4,6,-0.2,"this course(1), course materials(1), instructor(1), undergraduate(1)","case study(3), how to(1), real-world(1), Wall Street(1)"
Henry Dauderis; David Annand; Lyryx Learning - Introduction to the Financial Accounting (Book 2017).pdf,Textbooks/Academic/Accounting/Henry Dauderis; David Annand; Lyryx Learning - Introduction to the Financial Accounting (Book 2017).pdf,4,0,1.0,"instructor(3), solutions manual(1)",
James Don Edwards - History of Public Accounting in the United States (Book 1960).pdf,Textbooks/Academic/Accounting/James Don Edwards - History of Public Accounting in the United States (Book 1960).pdf,1,2,-0.3333,this course(1),"guide(1), readers will(1)"
Jang Youn Cho - Timeliness of earnings reports (Book 1987).pdf,Textbooks/Academic/Accounting/Jang Youn Cho - Timeliness of earnings reports (Book 1987).pdf,0,6,-1.0,,insider(6)
Joel Kissack - Law and accounting (Book 1986).pdf,Textbooks/Academic/Accounting/Joel Kissack - Law and accounting (Book 1986).pdf,10,0,1.0,this course(10),
"Kaplan, Revsine - Current Issues In Accounting (Book 1984).pdf","Textbooks/Academic/Accounting/Kaplan, Revsine - Current Issues In Accounting (Book 1984).pdf",3,0,1.0,this course(3),
"Killough, Larry N - Cost Accounting Concepts And Techniques For Management (Book 1984).pdf","Textbooks/Academic/Accounting/Killough, Larry N - Cost Accounting Concepts And Techniques For Management (Book 1984).pdf",1,0,1.0,regression(1),
"Kreps, Wacht - Analyzing Financial Statements (Book 1978).pdf","Textbooks/Academic/Accounting/Kreps, Wacht - Analyzing Financial Statements (Book 1978).pdf",1,0,1.0,textbook(1),
Lawrence Lipkin - Accountant's handbook of formulas and tables (Book 1963).pdf,Textbooks/Academic/Accounting/Lawrence Lipkin - Accountant's handbook of formulas and tables (Book 1963).pdf,14,7,0.3333,"standard error(9), coefficient(3), regression(2)","handbook(5), how to(2)"
Lisle - Accounting in theory and practice (Book 1908).pdf,Textbooks/Academic/Accounting/Lisle - Accounting in theory and practice (Book 1908).pdf,0,2,-1.0,,practical(2)
"Louderback, Joseph G - Managerial Accounting (Book 1982).pdf","Textbooks/Academic/Accounting/Louderback, Joseph G - Managerial Accounting (Book 1982).pdf",13,9,0.1818,"instructor(7), this course(3), course materials(1), undergraduate(1), graduate students(1)","straightforward(2), how to(1), step by step(1), practical(1), guide(1)"
McLean - The Smartest Guys in the Room (Book 2003).pdf,Textbooks/Academic/Accounting/McLean - The Smartest Guys in the Room (Book 2003).pdf,0,7,-1.0,,"Wall Street(4), case study(1), CEO(1), board of directors(1)"
Pacioli (Geijsbeek) - Ancient Double-Entry Bookkeeping (Book 1914).pdf,Textbooks/Academic/Accounting/Pacioli (Geijsbeek) - Ancient Double-Entry Bookkeeping (Book 1914).pdf,3,9,-0.5,instructor(3),"practical(8), rule of thumb(1)"
Paul-Joseph Esquerre - The applied theory of accounts (Book 1914).pdf,Textbooks/Academic/Accounting/Paul-Joseph Esquerre - The applied theory of accounts (Book 1914).pdf,0,9,-1.0,,"practical(3), trader(3), client(2), guide(1)"
Robert Beyer - Profitability accounting for planning and control (Book 1963).pdf,Textbooks/Academic/Accounting/Robert Beyer - Profitability accounting for planning and control (Book 1963).pdf,0,1,-1.0,,practical(1)
Rohit Jain - An empirical investigation of some economic consequences of FASB statement no. 8 (Book 1980).pdf,Textbooks/Academic/Accounting/Rohit Jain - An empirical investigation of some economic consequences of FASB statement no. 8 (Book 1980).pdf,0,0,0.0,,
"Shillinglaw, Gordon, Ronen - Accounting a Management Approach (Book 1979).pdf","Textbooks/Academic/Accounting/Shillinglaw, Gordon, Ronen - Accounting a Management Approach (Book 1979).pdf",6,1,0.7143,"this course(2), semester(2), textbook(1), instructor(1)",in practice(1)
